Nombre,Archivo
mano,img/hand01b.jpg
ojo,img/eye.jpg
oreja,img/ear.jpg
pie,img/foot.jpg
rodilla,img/knee.jpg
caballo,img/horse.jpg
gato,img/cat.jpg
jirafa,img/giraffe.jpg
león,img/lion.jpg
perro,img/pugdog.jpg
limón,img/lemon02.jpg
lechuga,img/lettuce.jpg
manzana,img/apple07.jpg
naranja,img/orange.jpg
tomate,img/tomato01.jpg
calcetín,img/sock01a.jpg
camiseta,img/tshirt.jpg
pantalón,img/pants.jpg
sombrero,img/hat03b.jpg
zapato,img/manshoe.jpg
copa,img/wineglass01.jpg
cuchara,img/spoon01.jpg
cuchillo,img/knife03.jpg
plato,img/plate01b.jpg
tenedor,img/fork03c.jpg
flauta,img/recorder01.jpg
guitarra,img/acousticguitar02.jpg
piano,img/grandpiano.jpg
trompeta,img/trumpet.jpg
violín,img/violin.jpg
